ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000721;BTA 7,2% Fevrier 2027;1000;1,0;28;9,66
TN0008000770;BTA 7,3% Decembre 2027;4869;5,0;42;8,25
TN0008000721;BTA 7,2% Fevrier 2027;2610;2,761;30;8,81
TN0008000721;BTA 7,2% Fevrier 2027;2017;2,045;30;8,81
TN0008000812;BTA 7,5% 13/12/2028;220;0,211;91;8,5
TN0008000812;BTA 7,5% 13/12/2028;303;0,29;91;8,5
TN0008000580;BTA 6,3% Octobre 2026;36260;35,92;91;8,53
TN0008000812;BTA 7,5% 13/12/2028;619;0,65;42;8,25
TN0008000812;BTA 7,5% 13/12/2028;3284;3,448;14;7,91
TN0008000812;BTA 7,5% 13/12/2028;587;0,616;14;7,91
TN0008000812;BTA 7,5% 13/12/2028;538;0,565;14;7,91
TN0008000622;BTA 6,3% Mars 2026;1032;1,016;60;8,0
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2899;0,3;11;8,91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14492;1,5;25;7,41
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;6280;0,65;14;8,41
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9661;1,0;14;8,91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;12560;1,3;11;8,91
