ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TN0008000655;BTA 6,6% Mars 2027;2 596;2 500;46;9 000
TN0008000812;BTA 7,5% 13/12/2028;77;0 081;53;7 750
TN0008000739;BTA 7,4% Fevrier 2030;6 579;6 700;20;7 550
TN0008000606;BTA 6,7% Avril 2028;198;0 200;180;7 550
TN0008000739;BTA 7,4% Fevrier 2030;2 688;2 500;250;8 100
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2 105;0 220;29;8 000
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;47 840;5 000;11;8 500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;28 704;3 000;29;8 500
TN0008000812;BTA 7,5% 13/12/2028;8 015;8 500;4;7 500
TN0008000812;BTA 7,5% 13/12/2028;2 641;2 800;4;7 500
TNGNCCQYSMR1;BTA 9.9% decembre 2033;21 926;22 779;60;8 550
TN0008000655;BTA 6,6% Mars 2027;1 039;1 001;12;8 500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4 784;0 500;12;8 500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4 784;0 500;12;8 500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9 568;1 000;29;8 500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3 349;0 350;90;8 500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4 784;0 500;7;8 500
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1 690;0 180;91;8 500
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;18 773;2 000;20;8 500
TN0008000655;BTA 6,6% Mars 2027;416;0 401;91;8 500
